name,inchi,mult
Ne,InChI=1S/Ne,1
methane(1),InChI=1S/CH4/h1H4,1
ethane(2),InChI=1S/C2H6/c1-2/h1-2H3,1
propane(3),"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",1
O2(4),InChI=1S/O2/c1-2,3
CH3OH(5),"InChI=1S/CH4O/c1-2/h2H,1H3",1
CH(6),InChI=1S/CH/h1H,2
CH2(T)(7),InChI=1S/CH2/h1H2,3
CH2(S)(8),InChI=1S/CH2/h1H2,1
HO2(16),InChI=1S/HO2/c1-2/h1H,2
C3H7(38),"InChI=1S/C3H7/c1-3-2/h3H,1-2H3",2
CH3(22),InChI=1S/CH3/h1H3,2
C2H5(33),"InChI=1S/C2H5/c1-2/h1H2,2H3",2
CH3O2(47),InChI=1S/CH3O2/c1-3-2/h1H3,2
H(9),InChI=1S/H,2
C3H7O2(45),"InChI=1S/C3H7O2/c1-3(2)5-4/h3H,1-2H3",2
C2H5O2(56),"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3",2
C2H4(32),InChI=1S/C2H4/c1-2/h1-2H2,1
C2H4(50),"InChI=1S/C2H4/c1-2/h1H,2H3",1
C3H6(43),"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",1
H2(12),InChI=1S/H2/h1H,1
H2O2(17),InChI=1S/H2O2/c1-2/h1-2H,1
CH3O2H(54),"InChI=1S/CH4O2/c1-3-2/h2H,1H3",1
OH(11),InChI=1S/HO/h1H,2
O(10),InChI=1S/O,3
H2O(13),InChI=1S/H2O/h1H2,1
C3H7(39),"InChI=1S/C3H7/c1-3-2/h1,3H2,2H3",2
CH3O(29),InChI=1S/CH3O/c1-2/h1H3,2
C3H7O2(82),"InChI=1S/C3H7O2/c1-2-3-5-4/h2-3H2,1H3",2
CH2OH(34),"InChI=1S/CH3O/c1-2/h2H,1H2",2
CH2O2(42),InChI=1S/CH2O2/c1-3-2/h1H2,3
C1OO1(152),InChI=1S/CH2O2/c1-2-3-1/h1H2,1
CH2O2(173),InChI=1S/CH2O2/c2-1-3/h1H2,3
CH2O(23),InChI=1S/CH2O/c1-2/h1H2,1
S(124),"InChI=1S/C3H7O2/c1-2-3-5-4/h4H,1-3H2",2
CHO2(177),InChI=1S/CHO2/c2-1-3/h1H,2
CO2(19),InChI=1S/CO2/c2-1-3,1
HCO(20),InChI=1S/CHO/c1-2/h1H,2
CHO3(250),InChI=1S/CHO3/c2-1-4-3/h1H,2
CO(18),InChI=1S/CO/c1-2,1
S(221),"InChI=1S/C3H7O4/c4-6-2-1-3-7-5/h4H,1-3H2",2
C3H6O(200),"InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3",1
C3H6(93),InChI=1S/C3H6/c1-3-2/h1-2H3,1
C2H3(31),"InChI=1S/C2H3/c1-2/h1H,2H2",2
S(458),"InChI=1S/C2H3O2/c1-2-4-3/h2H,1H2",2
CH2CHO(36),"InChI=1S/C2H3O/c1-2-3/h2H,1H2",2
S(431),InChI=1S/C3H6O3/c4-2-1-3-6-5/h1-3H2,3
S(496),"InChI=1S/C3H5O2/c4-2-1-3-5/h2H,1,3H2",2
S(495),"InChI=1S/C3H5O2/c1-5-3-2-4/h2H,1,3H2",2
C2H4O2(72),InChI=1S/C2H4O2/c1-2-4-3/h1-2H2,3
S(570),"InChI=1S/C4H6O2/c5-3-1-2-4-6/h3-4H,1-2H2",3
S(383),"InChI=1S/C2H3O3/c3-1-2-5-4/h1H,2H2",2
O2(S)(579),InChI=1S/O2/c1-2,1
S(564),"InChI=1S/C4H6O2/c1-4(6)2-3-5/h3-4H,1-2H2",3
CH3CO(35),InChI=1S/C2H3O/c1-2-3/h1H3,2
S(563),"InChI=1S/C4H6O2/c1-2-6-4-3-5/h2-3H,1,4H2",3
C2H5O(113),"InChI=1S/C2H5O/c1-2-3/h3H,1-2H2",2
S(168),"InChI=1S/C2H5O3/c3-1-2-5-4/h3H,1-2H2",2
C2H6O2(58),"InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3",1
C2H5O(73),"InChI=1S/C2H5O/c1-2-3/h2H2,1H3",2
C3H6(79),InChI=1S/C3H6/c1-3-2/h1-3H2,3
CH2CO(30),InChI=1S/C2H2O/c1-2-3/h1H2,1
S(684),"InChI=1S/C4H5O2/c1-4(6)2-3-5/h3H,1-2H2",2
S(645),InChI=1S/C2H2O3/c1-2(3)5-4/h1H2,3
OCCOO(604),"InChI=1S/C2H6O3/c3-1-2-5-4/h3-4H,1-2H2",1
S(682),"InChI=1S/C4H5O2/c1-2-6-4-3-5/h3H,1,4H2",2
S(296),"InChI=1S/C3H4O2/c1-2-3(4)5-2/h2H,1H3",1
S(211),"InChI=1S/C2H5O2/c3-1-2-4/h3H,1-2H2",2
C2H4O(487),"InChI=1S/C2H4O/c1-2-3/h2-3H,1H2",1
S(722),InChI=1S/C2H2O3/c3-2-1-4-5-2/h1H2,1
S(318),InChI=1S/C2H2O3/c3-1-2(4)5/h1H2,3
S(511),"InChI=1S/C3H3O3/c4-2-1-3(5)6/h2H,1H2",2
CH3CHO(37),"InChI=1S/C2H4O/c1-2-3/h2H,1H3",1
CH2O(119),InChI=1S/CH2O/c1-2/h1H2,3
CHO3(310),"InChI=1S/CHO3/c2-1(3)4/h(H,2,3)",2
C3H7O(115),"InChI=1S/C3H7O/c1-2-3-4/h2,4H,3H2,1H3",2
S(1041),"InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-4H,2H2,1H3",2
S(1060),"InChI=1S/C4H7O2/c1-4(6)2-3-5/h3-4H,2H2,1H3",2
S(1059),"InChI=1S/C4H7O2/c1-2-6-4-3-5/h2-3H,4H2,1H3",2
S(510),"InChI=1S/C3H3O3/c4-1-2-6-3-5/h1H,2H2",2
HOCO(224),"InChI=1S/CHO2/c2-1-3/h(H,2,3)",2
S(812),"InChI=1S/C2H5O2/c3-1-2-4/h1,3-4H,2H2",2
S(1038),"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2",1
C4H6O(660),"InChI=1S/C4H6O/c1-3-4(2)5-3/h4H,1H2,2H3",1
C2H2O(484),InChI=1S/C2H2O/c1-2-3/h1-2H,3
S(1191),InChI=1S/C2H2O/c1-2-3-1/h1-2H,1
S(362),"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2",1
CH2O3(164),InChI=1S/CH2O3/c2-1-4-3/h1H2,3
C4H6O(661),"InChI=1S/C4H6O/c1-3-2-4(3)5/h3H,2H2,1H3",1
C2H2(26),InChI=1S/C2H2/c1-2/h1-2H,1
S(1224),"InChI=1S/C4H7O3/c5-2-1-4(7)3-6/h2,4,6H,1,3H2",2
S(1223),"InChI=1S/C4H7O3/c5-1-3-7-4-2-6/h1,4,6H,2-3H2",2
CH2O3(249),"InChI=1S/CH2O3/c2-1-4-3/h1,3H",1
C4H6(1279),"InChI=1S/C4H6/c1-4-2-3-4/h2-4H,1H3",1
HCCO(24),InChI=1S/C2HO/c1-2-3/h1H,2
S(1123),"InChI=1S/C3H5O/c1-2-3-4/h2-4H,1H2",2
S(1421),"InChI=1S/C3H5O3/c1-2-3(4)6-5/h2-4H,1H2",2
S(1453),"InChI=1S/C4H7O2/c1-2-4(6)3-5/h2,4,6H,1,3H2",2
S(1451),"InChI=1S/C4H7O2/c5-3-1-2-4-6/h1,3,5H,2,4H2",2
C3H4O(392),"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",1
S(1566),InChI=1S/C3H4O/c1-2-3-4/h1-2H2,3
S(1420),"InChI=1S/C3H5O3/c4-2-1-3-6-5/h1-2,4H,3H2",2
C3H3O(467),"InChI=1S/C3H3O/c1-2-3-4/h2H,1H2",2
C4H8O(810),"InChI=1S/C4H8O/c1-3-2-4(3)5/h3-5H,2H2,1H3",1
S(1303),InChI=1S/C3H4O/c4-3-1-2-3/h1-2H2,1
S(1688),"InChI=1S/C4H5O2/c5-3-1-2-4-6/h1H,2,4H2",2
C3H6O(118),"InChI=1S/C3H6O/c1-2-3-4/h2H,3H2,1H3",3
S(1037),"InChI=1S/C3H6O/c1-2-3-4/h2-4H,1H3",1
C3H6O(331),"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",1
S(1793),"InChI=1S/C4H9O/c1-3-4-5-2/h4H,3H2,1-2H3",2
C3H5O(382),"InChI=1S/C3H5O/c1-2-3-4/h2H2,1H3",2
S(517),"InChI=1S/C3H3O2/c4-2-1-3-5/h2H,1H2",2
S(1678),"InChI=1S/C3H3O3/c4-2-1-3-6-5/h1H,3H2",2
CHO4(283),InChI=1S/CHO4/c2-1(3)5-4/h4H,2
CH4O2(578),"InChI=1S/CH4O2/c2-1-3/h2-3H,1H2",1
tSPC(1286),"InChI=1S/C3H3O3/c1-2-3(4)6-5/h2H,1H2",2
S(1861),"InChI=1S/C3H4O3/c1-2-3(4)6-5/h2,5H,1H2",1
S(1895),"InChI=1S/C3H4O5/c1-2(7-5)3(4)8-6/h2,6H,1H2",3
tSPC(1553),"InChI=1S/C3H3O2/c1-2-3(4)5/h2H,1H2",2
S(1192),InChI=1S/C2H3O2/c3-1-2-4/h1-3H,2
S(2033),"InChI=1S/C3H5O3/c4-1-3(6)2-5/h1,3,6H,2H2",2
S(1998),"InChI=1S/C2H3O4/c3-1-2(4)6-5/h1-2,4H",2
S(2144),"InChI=1S/C4H7O3/c1-3(6)4(7)2-5/h2-4,7H,1H3",2
S(366),InChI=1S/C2H2O2/c3-1-2-4/h1-2H,1
S(2235),"InChI=1S/C4H5O3/c5-2-1-4(7)3-6/h2-4H,1H2",2
S(2121),"InChI=1S/C4H5O3/c5-1-3-7-4-2-6/h1-3H,4H2",2
S(2288),"InChI=1S/C4H5O4/c5-1-3(7)4(8)2-6/h1-4,7H",2
S(2150),"InChI=1S/C4H7O4/c5-1-3(7)4(8)2-6/h1,3-4,6-7H,2H2",2
CO3t1(312),InChI=1S/CO3/c2-1(3)4,3
CO3(1850),InChI=1S/CO3/c2-1-3-4-1,1
OCHCO(428),InChI=1S/C2HO2/c3-1-2-4/h1H,2
